dataset name,average run time,node quantity,edge quantity,thread quantity
ADMINISTRATORS.csv,0.03534569501876831,2258,11915,6938
BOT_REQUESTS.csv,0.005389997959136963,552,2425,1127
INTERWIKI_CONFLICT.csv,0.009740283489227295,2005,3255,3116
ITEMS.csv,0.034360358715057375,6101,7252,18552
OTHERS.csv,0.030139944553375243,2493,11076,8102
PROJECT_CHAT.csv,0.10993143558502197,4136,40255,15412
PROPERTIES.csv,0.021759729385375976,1942,9198,6681
PROPERTIES_FOR_DELETION.csv,0.015166921615600586,739,13530,579
PROPERTY_PROPOSAL.csv,0.13066588163375856,3058,46154,10018
REPORT_A_TECHNICAL_PROBLEM.csv,0.009779067039489745,696,2961,2002
REQUESTS_FOR_COMMENT.csv,0.02067060947418213,888,27569,278
REQUESTS_FOR_PERMISSIONS.csv,0.05072674751281738,1800,27565,4121
REQUEST_A_QUERY.csv,0.008460354804992676,698,1884,2431
REQUEST_FOR_DELETION.csv,0.99774156332016,9935,33489,318892
USERS.csv,0.2718054270744324,11387,24692,142420
WIKIPROJECTS.csv,0.020960328578948976,1620,6782,5627
